,MG_1_1,MG_1_2,MG_1_3,Br3_1_1,Br3_1_2,Br3_1_3,Br7_1_1,Br7_1_2,Br7_1_3,Br10_1_1,Br10_1_2,Br10_1_3,Br15_1_1,Br15_1_2,Br15_1_3,QC1,QC2,QC3
Label,MG,MG,MG,Br3,Br3,Br3,Br7,Br7,Br7,Br10,Br10,Br10,Br15,Br15,Br15,QC,QC,QC
Procaine,0,24119,4010,28991,15803,22522,77472,24121,124905,44536,38382,15779,1588343,1073852,53767,517263,613284,615807
Glycerol alpha-monochlorohydrin.29,6860979,6189071,6496965,5854894,6161890,7026424,7177992,7128990,6927652,7335782,7694480,7989484,8012651,12146010,10442991,7128097,6643723,7916154
farnesoic acid,178632,141008,154534,74865,147170,106084,80963,84894,115199,56676,84746,33987,74316,39939,24496,145629,170148,134080
PubChem_20367091,700770,768508,728963,835934,1191227,989602,1383163,1416499,1025890,1858431,1811126,239328,1461116,1131512,1731651,1240893,1522908,1432708
S-Cysteinosuccinic acid,673084,573940,572703,957785,879627,786940,1717471,1671826,881363,2177326,1933944,1821704,2145412,1833301,1910972,2821358,2706956,2682265
UNPD11323,28626480,9111300,29887116,32902502,15663073,30657900,36738976,20771914,34467816,32625782,11080771,33827300,18570490,2964020,27403410,23815634,24285122,27902008
4-amino-3-isothiazolidinone,678546,357916,1081113,3514888,411704,2042747,1534664,387055,3198143,3161707,412667,3223873,1541664,162045,2714196,1851089,1938311,2169363
UNPD11323.1,1889036,2076618,4336958,10393414,2096967,9295330,3995037,2387660,3371241,4773660,1239496,4715426,1158974,232357,2285766,1911452,1200303,1932442
3-benzamido-3-oxopropanethioic acid S-methyl ester,436343,837638,821051,1280212,2044304,792907,7492653,7023426,2833529,1175000,7190604,1423802,1527578,7877489,2222488,332688,830674,529376
UNPD11323.2,240480,454117,625945,1039250,482463,553332,976527,513913,589719,1097328,313067,799284,691677,156071,1061707,271123,171341,322397
Glycerol alpha-monochlorohydrin.30,15294447,14341877,14010587,12307499,11123305,12387882,12514312,12650864,12391652,16114589,14360740,15245052,16693658,19659956,18137744,15772372,14163993,14702210
UNPD11323.3,2188662,972793,3076022,3514888,2405941,2042747,5830746,3388805,3198143,3161707,3049417,3223873,1541664,1383672,2714196,1851089,1938311,2169363
