,MG_1_1,MG_1_2,MG_1_3,Br3_1_1,Br3_1_2,Br3_1_3,Br7_1_1,Br7_1_2,Br7_1_3,Br10_1_1,Br10_1_2,Br10_1_3,Br15_1_1,Br15_1_2,Br15_1_3,QC1,QC2,QC3
Label,MG,MG,MG,Br3,Br3,Br3,Br7,Br7,Br7,Br10,Br10,Br10,Br15,Br15,Br15,QC,QC,QC
"PA(22:5(4Z,7Z,10Z,13Z,16Z)/18:4(6Z,9Z,12Z,15Z))",37082,26324,25406,0,0,0,0,0,0,0,0,0,0,27804,0,0,83245,79313
UNPD105132,19034,81083,70148,179937,32927,30241,1397344,1044485,200538,2948899,2766976,2068951,1560049,1485851,1643424,57845,92349,126637
"2-{[4,5-dihydroxy-2-(hydroxymethyl)-6-[5-(hydroxymethyl)-5,7',9',13'-tetramethyl-5'-oxaspiro[oxane-2,6'-pentacyclo[10.8.0.0?,?.0?,?.0??,??]icosan]-18'-eneoxy]oxan-3-yl]oxy}-6-methyloxane-3,4,5-triol",79883,85514,56247,157230,173527,199991,67942,0,60161,20836,0,46720,15359,0,0,43151,0,0
Hebevinoside VI,185134,133066,90354,115216,126616,114281,143405,214587,362892,154208,221877,183761,64076,9114,110389,26811,26569,47039
1-18:1-2-16:2-monogalactosyldiacylglycerol,0,0,0,83959,145247,205896,700645,1042437,441060,883713,608841,620849,1364174,391122,786732,624105,1018081,903455
PubChem_134729906,307514,0,0,16812,14172,0,23669,0,0,0,0,0,0,0,0,67700,110719,97117
"10-(dihydroxymethyl)-8,16-dihydroxy-19-(1-hydroxyethyl)-22-imino-6-oxa-26,27-dithia-2,21,23,30-tetraazapentacyclo[17.12.6.1?,?.1?,??.0??,??]nonatriaconta-7(38),8,10-trien-36-yn-14-yl acetate",44875,33545,39426,58722,43407,94985,95049,212103,189194,206299,171718,136592,0,0,22005,30624,26680,26732
UNPD94035,0,28307,18646,58630,0,133919,77158,135692,169549,0,77972,21065,38920,50320,0,24862,87402,95692
28-Glucosylsiaresinolate 3-arabinoside,188431,153280,185695,200072,168281,325217,589864,499305,526462,646857,681844,728613,576216,426740,379762,75738,111192,96573
Lyciumoside IV,0,0,0,45248,0,4579,0,0,27584,0,187978,0,451429,413097,660781,22319,0,0
1-18:3-2-18:2-monogalactosyldiacylglycerol,0,0,0,0,0,0,74881,69258,0,16809,55361,31880,0,20477,28776,94654,131561,82309
Antibiotic A 40A;Factumycin,89094,0,81058,121521,65932,64388,17626,0,22914,65565,57654,15825,140031,160351,179703,32319,0,0
CNP0444928,2865814,0,1880180,0,117823,748404,29140444,16860940,1510759,6274277,3592411,15006913,10142931,7157636,25125888,6055632,6948311,1737361
PI(O-16:0/16:1(9Z)),0,0,0,34337,0,10455,18953,53601,14700,15041,35052,147872,584155,147122,156347,61852,148915,106412
Soyasaponin III,83960,35043,48414,117188,25973,53651,156696,135059,150988,422841,500345,382466,309469,262463,185287,26250,56396,36409
PubChem_138135939,1390263,577456,400508,0,0,0,434419,827157,10685,13762,0,215385,38284,28411,166077,710495,374690,132781
Culinariside,87829,24276,0,16720,0,20960,32162,20663,25612,48601,117588,184472,657372,46681,203991,135338,218057,95312
Culinariside.1,113548,24276,0,16720,0,0,0,0,0,46101,117588,115660,657372,78852,203991,83684,142363,130615
"PA(22:2(13Z,16Z)/22:5(4Z,7Z,10Z,13Z,16Z))",2735621,1237182,1247923,0,0,15512,832465,767468,16680,20855,0,797558,82670,121307,303702,1585754,945607,262671
UNPD193742,0,0,0,140524,25193,167868,423328,410441,248349,398380,509699,318448,326381,313033,436637,25362,113293,40905
"PS(20:3(8Z,11Z,14Z)/18:1(9Z))",170540,72778,80516,67528,46042,36943,110570,97986,117850,32512,245153,135513,249523,144600,167223,90464,87024,76848
"19-hydroxy-7-[(4-hydroxy-3-methoxyphenyl)methyl]-20-{[3-(2-{[(2-hydroxypropyl)amino]methoxy}ethyl)-1-[(methylamino)methyl]cyclopentyl]oxy}-16-(methylamino)-3-pentyl-15,17-diazatricyclo[16.3.1.0?,??]docosa-1(22),4,15,18,20-pentaen-13-yn-6-one",299710,29607,22642,0,0,0,0,0,0,0,0,0,0,0,0,46333,43879,32483
"PC(18:4(6Z,9Z,12Z,15Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",0,21646,25001,169357,44413,79233,23198,107766,31824,49893,103124,9230,72521,143721,63871,84202,22269,74306
"[12-(dodecanoyloxy)-5,6-dihydroxy-3,11,11,14-tetramethyl-15-oxo-4-(propan-2-yloxy)tetracyclo[7.5.1.0?,?.0??,??]pentadeca-2,7-dien-7-yl]methyl hexadecanoate",929443,84849,0,0,0,0,0,0,0,0,0,0,0,0,0,21402,64262,26417
UNPD187176,270853,32506,0,0,0,0,0,0,0,0,0,0,0,0,0,43115,36853,52173
Sumatranoside;(+)-Sumatranoside,761128,509007,205808,0,0,0,369697,489771,252436,229301,106693,398036,10143,204997,20179,484214,222257,85966
PubChem_164503344,62230,0,0,51975,44252,50992,168894,98698,40614,54837,0,76328,463913,486119,225461,61916,108339,78084
"6-[3-(2,3-dihydroxybutyl)cyclopentyl]-1-[4-(3,3-dimethyloxiran-2-yl)-4-hydroxybutan-2-yl]-11-({3-[(3,5-dimethylphenyl)methyl]-1H,4H-pyrrolo[3,2-b]pyrrol-1-yl}methyl)-10-hydroxy-3a,3b,6,9a-tetramethyl-2H,3H,3aH,3bH,4H,5H,5aH,6H,7H,8H,9H,9aH,9bH,10H,11H-cyclopenta[a]phenanthrene-2,7-dione",30767,44027,70158,29215,60058,138014,129030,107046,73371,119586,102321,116315,400764,337215,134383,52263,0,43112
"PC(24:1(15Z)/18:3(6Z,9Z,12Z))",500094,413943,167777,0,0,0,403422,425127,222733,181475,101271,396134,22268,160892,13143,485553,274414,126206
"PC(22:2(13Z,16Z)/20:2(11Z,14Z))",445232,413943,167777,0,16388,0,858972,981130,511701,456833,316069,816430,61072,349754,57316,902696,427900,323550
Dioscin,464156,169005,164687,216878,125934,223347,350827,571166,421924,653953,995003,787279,476526,428600,546144,37617,47532,105780
"PI(P-16:0/22:4(7Z,10Z,13Z,16Z))",0,0,56714,1134325,2366453,1082988,379264,326700,656866,483040,357205,683679,149472,33850,265103,618118,337314,16226
"PGP(18:0/20:3(8Z,11Z,14Z))",42003,30130,31228,0,0,0,23232,0,0,54495,27782,0,0,13580,0,48813,130202,22018
UNPD161220,522219,1064485,467160,67067,0,245933,713730,409274,749641,1016786,0,1647098,336276,173356,0,944216,546558,637683
UNPD161220.1,13373,155933,0,342234,0,820572,631840,552820,533519,1286990,63425,1543162,445174,128691,0,663178,636661,1303288
"PI(20:3(8Z,11Z,14Z)/18:2(9Z,12Z))",160505,112928,50900,208889,15657,178008,205060,108770,165665,416203,58376,194767,30106,18433,0,135544,338747,452956
Saundersioside C;(-)-,333077,290777,266049,336824,373207,298578,198236,665724,550239,499624,637257,589908,33303,54175,145533,39450,52169,75290
UNPD15731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100943,174772,155681
Melongoside N,0,0,0,0,0,0,88734,126890,140768,100480,87697,4305,0,0,0,293709,519534,296912
"PE(DiMe(13,5)/DiMe(13,5))",866762,332650,469329,0,23049,82073,2171424,1307122,355383,1287985,779533,1508313,4112117,2396245,1902675,1085150,707294,524593
Ginsenoside Rd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74387,106856,119590
UNPD186576,493908,61066,35921,99481,48170,126112,485200,269777,108864,793414,2027666,712894,905817,757804,1148481,31167,167824,158994
Dehydrotomatine,182141,377965,432006,192050,220072,64640,315192,196371,166938,52168,115490,138082,0,0,0,41383,29099,0
Methylguanidine,1366049,97878,390730,1399746,980659,2394916,2428891,3453313,2087421,135087,793290,84859,0,149585,205702,59236,30968,120238
UNPD66081,59001,79582,89298,0,43399,23388,36331,72397,4954,3693,4070,57376,25854,75742,35678,31794,9751,0
UNPD66081.1,28243,47452,34374,25047,39244,47088,50313,26884,17266,13083,20938,14397,18368,49455,17682,24490,0,28578
"2,6-Dimethyl-naphtalene",12557,0,18380,10609,0,15717,10803,40251,14714,21445,10719,0,22007,30550,0,0,16147,18731
3-Oxooctanoic acid,18972,161981,43452,23285,117067,37345,43163,127691,25968,9703,73590,0,3117,55559,0,17755,39532,29804
PubChem_137092094,279481,106807,306476,601274,556642,503863,725878,522997,582879,1209986,634998,1398180,130629,1441323,2486209,927942,840520,564542
Aesculetin,0,4096,13553,108686,138997,76041,115929,69572,60282,31156,15068,14197,12254,24530,13984,53612,12457,27525
PubChem_58369076,17122,4843,29284,4075,21450,17164,0,0,0,0,0,24538,392082,497889,205951,10656,22751,44448
"2,3-Undecanedione",0,13386,13698,0,0,0,61683,51554,0,122893,59827,27515,658655,697213,358366,42726,43921,35139
PIPERIDINE-2-CARBOXYLIC ACID TERT-BUTYLAMIDE,451151,230261,196167,471826,1000942,961929,2279303,2934257,1495580,786063,1363715,1106591,16625,7306,463296,637764,164470,73187
PubChem_123736260,154499,759010,1121432,104122,172143,179974,279540,417376,166578,363238,494499,366066,27333,37017,444632,273458,246263,92473
3-Methoxydiphenylamine,17915,28891,36881,45092,52132,0,280361,208818,33016,208770,154781,122181,151294,247920,248000,26200,27853,28294
Spermine,1039146,176573,320253,1481715,782024,1574385,1825257,1086300,1474154,0,3744,0,29747,28571,14740,0,12469,0
Spermine.1,1039146,449971,1213557,3284816,1933801,861569,1825257,502243,786983,16407,12084,0,38022,28571,65886,23591,14106,44849
Polymethyl methacrylate,106562,303402,538838,295194,313541,211303,56736,83664,220196,11768,119848,49527,66247,25777,42341,39405,52651,69394
Homocitric acid,72505,92372,16385,50515,62924,63008,90126,19569,70687,80095,71820,49983,31932,105626,40033,65763,83270,24269
Neryl propionate,0,0,0,0,0,0,38429,40649,0,89263,26614,0,306256,319664,203797,40190,26645,59016
Methionyl-Alanine,37246,52098,78740,32566,52944,24253,79586,33815,31768,386482,156033,122348,1545164,1525700,1003922,39193,50650,52334
2-Phenylethyl hexanoate,0,10232,0,0,27776,0,13641,26763,0,14026,0,0,14790,32796,15186,27476,13114,17922
Carnosine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83113,67497,69194
5-Heptyltetrahydro-2-oxo-3-furancarboxylic acid,0,2496,20411,10534,0,0,23808,17367,0,0,14153,0,37440,36076,15459,12720,24192,46832
PubChem_153578633,11828,11484,0,143432,32890,21303,648489,497994,59935,740311,340376,513961,1069247,707817,1087115,63727,38943,53101
"9,13-dimethyltetracyclo[7.6.0.0?,??.0??,??]pentadec-13-ene",0,0,0,0,0,0,116423,26334,0,183851,120970,150220,949255,286179,446910,52373,30282,16719
Hydroxypropionylcarnitine,0,39436,15596,25916,0,28288,0,0,0,20084,0,0,35748,20728,25696,18573,33437,45008
Procainamide,92401,106804,13797,29148,42061,38484,3282,99911,33809,120196,45527,66547,48477,59895,0,31170,0,38327
UNPD122318,0,0,36836,32227,37196,18254,188888,139649,108289,340805,249154,245253,296283,281499,313579,76699,77205,51761
PubChem_155694684,0,0,15208,17320,16372,0,23750,24171,13672,0,0,0,25996,215529,67020,12921,0,0
[4]-Shogaol,0,0,0,0,0,10837,0,17885,0,30950,16865,0,314983,314587,148776,29082,27142,15441
"Tessaric acid;[2R-(2alpha,8alpha,8aalpha)]-1,2,3,4,6,7,8,8a-Octahydro-8,8a-dimethyl-a-methylene-6-oxo-2-naphthaleneacetic acid",46198,0,0,9531,140950,63719,81134,83862,62408,122233,118149,76258,189455,189786,158735,13075,14067,112438
"Acetamide, N-(3,4-dimethoxyphenyl)-2,2,2-trifluoro-",0,0,0,0,15922,0,0,0,0,0,0,3527,225282,240673,99808,48393,56800,43362
4-Coumaroyl-2-hydroxyputrescine,108898,43245,65532,22259,35118,81197,24338,82646,42886,22886,100725,20339,28651,149655,0,51127,30086,51136
"4-[2-(3,4-dimethylphenyl)propan-2-yl]-1,2-dimethylbenzene",420882,388735,165756,0,98908,91361,0,0,0,21919,20392,0,0,0,18848,77442,44129,83045
"2-hydroxy-N-(2-methylpropyl)undeca-7,9-dienamide",265586,261721,181691,53018,207142,139540,0,0,118104,24825,139850,93274,0,18753,0,257795,258971,211746
"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide",208032,44683,114407,178650,167829,69166,1746965,985976,154190,2924978,1531084,1167339,2495420,2015893,3875677,103172,152054,107150
PubChem_23201500,369493,34524,139161,730250,541536,1565894,1056991,1187019,483713,790920,538175,273518,13076,166415,176006,83384,57603,20015
"N,N-dihydroxyhexahomomethionine",16839,29210,12051,34985,34969,13100,16894,22051,14045,17790,0,0,85127,86080,0,34264,0,18021
[4]-Gingerol,344758,184116,171720,239636,164347,199670,349662,722935,620732,605608,1136928,994572,169037,160124,193512,67910,62024,76818
"5,5-dibutyl-6-imino-1,3-dimethyl-1,3-diazinane-2,4-dione",523854,448514,410211,0,390827,0,439813,601006,205844,4176,512600,381615,137871,165015,10233,5281,193992,205168
Estrone,0,23979,0,20714,0,0,0,76338,0,0,0,0,14505,0,35534,43412,50328,37743
"(2xi,4xi)-4,4',5,7-Tetrahydroxyflavan",0,0,0,0,0,0,0,15609,0,13661,0,0,0,0,15224,49652,23261,64320
(-)-Epiafzelechin,0,0,0,22462,0,17806,29716,14621,0,13797,0,0,0,0,0,36178,48551,44144
PubChem_89023396,68518,0,95627,586937,63969,360362,273607,268985,412873,1457074,84453,964959,658875,99427,1053634,288721,251707,272199
2-Amino-5-nitropyrimidine,0,0,0,0,0,107761,0,38088,0,0,0,0,0,0,0,87109,102299,119498
Juzirine,0,0,0,0,0,0,0,0,0,0,0,16726,3653227,962640,32202,106158,96970,94426
(2S)-2-[[(2S)-2-aminopropanoyl]amino]-3-(1H-imidazol-5-yl)-N-[(2S)-1-oxopropan-2-yl]propanamide,0,17540,8269,44921,0,28935,64026,67350,99642,86815,11952,52196,124841,0,126099,42293,42575,32614
CNP0432135.1,81649,69659,28659,44536,91932,71576,77159,54139,64496,72221,4064,39267,19148,84834,27634,49533,68517,34152
3-[(E)-2-(1-benzothiophen-2-yl)ethenyl]-5-methoxyphenol,19105,29489,37805,15951,0,16223,15299,14742,17645,14914,0,0,0,0,0,47375,57639,16284
UNPD220638,0,0,0,0,25477,0,0,21817,0,0,21695,0,0,0,0,209416,192116,214858
"(2R,4S)-6,6-dimethoxy-1-phenylmethoxyhexane-2,4-diol",0,0,0,353750,170309,133481,6374698,3291350,269524,4165948,2476577,3234094,4927498,4666766,5300020,35347,94347,69525
UNPD29998,0,0,0,0,0,0,174122,20227,0,320396,215660,250588,1580101,383877,661634,51270,30159,23930
"8-oxobicyclo[4.2.0]octa-1(6),2,4-triene-2-carbonitrile",7968,366809,13308,3966,390102,12595,478455,349610,52166,272678,299965,145232,518512,264139,492948,23773,31723,36682
Aromadendrin,0,0,0,78836,81776,76939,3464144,650545,163174,849812,617977,650843,666250,1274781,2290008,47259,19043,14690
Heptanenitrile,1565343,1477100,1911784,3285180,2285969,2548588,3428172,2681142,2597879,2105881,1815700,1725044,43924,859637,1301636,567298,498714,285855
"N-(2-Hydroxyisobutyl)-2,4,8,10,12-tetradecapentaenamide",0,0,0,16291,57763,0,14120,139291,0,72165,14818,0,0,179404,0,96141,77578,115253
trans-Grandmarin,0,0,0,0,0,0,0,0,0,0,0,13260,0,0,0,106677,98804,103324
(S)-Angelicain,0,0,0,0,0,0,0,13729,0,0,0,0,0,0,0,194278,189064,240704
(S)-Angelicain.1,0,0,0,0,13480,0,0,18483,0,14009,20472,0,21411,0,0,94707,99265,83287
trans-Grandmarin.1,0,0,0,0,0,0,0,0,0,0,0,22437,13229,0,0,1076937,903109,904479
trans-Grandmarin.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174611,170911,168816
(S)-Angelicain.2,25219,0,0,10779,37988,0,0,99203,0,0,3381,28525,0,0,36798,103136,139693,149527
UNPD40992,0,0,0,0,0,0,12317,12333,0,0,16089,0,13488,15298,14589,301594,342764,353609
trans-Grandmarin.3,0,0,0,0,0,0,0,21692,0,0,0,0,0,0,0,8471,35055,0
trans-Grandmarin.4,13049,0,0,0,34514,0,0,49069,0,19322,30257,44119,0,0,27406,95513,126584,142385
Phenylbutyrylglutamine,0,0,17271,0,47425,18235,0,0,0,0,17096,0,0,0,0,1481470,1619502,1683865
UNPD143626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97704,83138,105136
1-[(3-hydroxy-4-{[(1H-imidazol-2-yl)methyl]amino}oxolan-2-yl)methyl]-3-(propan-2-yl)urea,0,0,0,0,0,0,0,0,0,0,0,0,78632,0,42350,42972,53195,66306
5-hydroxy-7-methoxy-2-(4-methoxyphenyl)-4H-chromen-4-one,0,0,0,227133,457851,173494,324321,143611,94100,100110,98265,19157,0,0,0,52268,30184,38937
N-cis-Caffeoyltyramine,0,160531,16313,0,0,95940,0,14238,0,0,0,12206,1275961,582849,61111,61530,86072,55934
N-trans-p-Coumaroyloctopamine,0,11902,21939,0,0,137073,0,0,0,0,19230,0,0,22721,0,49487,68068,44797
Sulfaquinoxaline,13548,0,0,0,0,24093,0,0,0,16012,0,0,0,0,0,45015,29313,14869
Oryzalexin C,16471,48015,18635,0,0,0,0,15743,0,0,0,0,8951,15578,0,46501,62439,41648
3-[(4-bromophenyl)amino]-1-phenylprop-2-en-1-one,0,34881,0,26000,0,0,0,0,0,0,0,0,0,47708,0,32309,58620,37429
PubChem_123737819,343020,27181,812705,165616,0,73869,0,0,81969,15680,0,0,0,0,0,43791,28672,18764
UNPD17587,20200,47347,19730,14477,24630,17041,46803,83107,59052,70331,76472,43083,45537,192183,97537,33595,51222,28126
Garcinia lactone dibutyl ester,0,0,0,0,0,0,13336,78715,0,28112,65042,35328,117558,520295,334023,176919,170473,162163
Garcinia lactone dibutyl ester.1,0,0,0,0,0,16097,13336,0,0,97899,0,35328,317186,19867,334023,176919,170473,162163
5-tert-butyl-6-chloro-N-(2-methylphenyl)pyrazine-2-carboxamide,15396,0,15484,34675,62701,0,63384,156753,0,95540,35777,27638,48821,148362,90517,88401,94332,113309
"2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-3,4-dihydro-2H-1-benzopyran-4-one",103950,699565,463133,0,0,0,0,0,0,0,0,0,0,0,0,135265,96535,114842
4'-O-methyl-(-)-epicatechin,0,0,152806,32877,0,86916,23331,19398,78378,76399,49944,138597,52541,0,145814,42224,70970,85387
N-Acetyldehydroanonaine,305576,186768,252964,0,78087,42141,0,0,0,64524,28168,51853,507159,570483,0,253385,255266,367828
"1,3-Dihydro-4-nitro-1,3-dioxo-2H-isoindole-2-hexanoic acid",217283,367980,235478,5923,336945,0,405760,328432,140848,15468,369931,87010,268044,197666,304955,338910,394194,341726
N1-trans-Feruloylagmatine,1218445,1244934,624137,3913,60375,21914,118722,203222,233250,0,108173,0,3908,143568,0,25885,293228,44716
Dillanol,0,0,0,692479,662357,1021457,672751,1693006,3507206,584837,1920363,2624654,69109,165024,262999,32506,93941,133113
"4R,5R,6S-Trihydroxy-2-hydroxymethyl-2-cyclohexen-1-one 6-(2-hydroxy-6-methylbenzoate)",143359,5411,185435,32391,34699,24661,52938,0,0,40282,20599,47493,143411,148809,68887,186906,196277,212322
"1H-Benzimidazole, 5,6-difluoro-",31623,0,68077,14668,0,35521,67983,0,81803,109221,13202,163467,173478,52440,236723,52568,34074,67759
5-(aminomethyl)-2-(hydroxymethyl)-4-[4-(pyrimidin-2-yl)piperazin-1-yl]oxolan-3-ol,45131,16379,86338,27372,33912,16193,1750107,1771484,862930,60334,669022,69718,658295,166761,231571,26055,244257,134421
"7-(2,3-dihydroxypropyl)-1-[2-(dimethylamino)ethyl]-3-methyl-2,3,6,7-tetrahydro-1H-purine-2,6-dione",0,0,0,0,0,0,0,0,0,0,0,0,210711,0,0,60741,53406,80403
"N3-(2-oxopiperidin-3-yl)-N1-(propan-2-yl)piperazine-1,3-dicarboxamide",0,0,0,0,0,0,99243,27369,0,101171,0,0,428556,246185,118496,121387,129248,111148
PubChem_58871564,3075458,12035497,13480895,133250,13885509,160542,13504256,14006219,9150800,21698,9836079,151720,43370,5758012,35086,36068,2951215,238268
PubChem_58871564.1,864446,992481,1163404,818049,1004655,317444,1132146,1146607,773048,47032,783588,800973,100925,432582,142244,263047,270524,287175
2-hydroxy-5-[(1E)-(2-phenylethylidene)amino]-L-tyrosine,412289,470124,427798,0,986792,0,0,0,349451,0,303086,0,0,144339,18177,9243,583384,656100
3-O-Methylellagic acid,34347,16291,43659,0,15498,0,32205,0,0,0,0,0,0,0,0,116328,132910,151744
Isorhamnetin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950238,1007870,1073042
Vanilloloside,0,0,0,0,0,0,0,0,0,0,0,12790,674291,26303,20397,134440,150455,200994
"Glucosyl (E)-2,6-Dimethyl-2,5-heptadienoate",0,0,0,0,0,0,223106,150326,0,301788,90046,70076,1479946,920880,694326,252956,269929,308070
6-(Chloromethyl)-2-methylpyrimidin-4-ol,0,0,0,360336,441959,310876,1074734,884122,495375,665767,672124,794888,209820,165325,587379,54847,46301,55445
CNP0442727,143866,268403,129455,0,0,0,0,0,0,0,0,0,0,0,0,161324,179777,208141
Myricetin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154549,173796,163976
(Z)-3-(9-octadecenylamino)propiononitrile.1,29290,0,0,0,3950087,0,1626051,2366450,3948941,3189441,797823,2991004,2651444,2897329,2845337,3375170,3767219,3286706
Buntansin C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145168,103224,138263
UNPD106763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38206,40392,48254
PRZ_M323a,119829,64024,56448,44299,109436,81654,123240,173729,168128,261322,163644,314830,184651,210111,276876,208647,192400,50513
UNPD6498,0,0,10632,0,64176,0,28244,23582,40549,41575,0,0,40958,61212,28959,42146,38729,35412
1-Acetoxy-2-hydroxy-16-heptadecyn-4-one,1176445,60687,19416,0,0,0,19715,0,0,0,0,0,0,21502,26586,191249,239885,227068
(2S)-1-[(2S)-1-[(2S)-2-amino-4-methylpentanoyl]pyrrolidine-2-carbonyl]pyrrolidine-2-carboxylic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179048,221887,256344
1-O-p-Coumaroyl-beta-D-glucose,34885,0,59444,80599,24335,59438,77709,75529,85824,132639,138767,65600,112904,9800,88295,73774,83689,87109
"2-{5-[(cyclopentylamino)methyl]-6-hydroxy-hexahydrofuro[3,2-b]furan-2-yl}-N-propylacetamide",94835,252344,269548,210727,195000,107752,161812,262851,226349,194569,124651,80206,0,50101,88717,32340,0,23497
1-Acetoxy-2-hydroxy-16-heptadecen-4-one,2233232,170176,142198,22966,0,80532,0,0,0,0,20090,0,0,0,0,402935,383296,383869
PubChem_159843436.1,140277,0,0,83115,160553,194320,273990,238081,238143,261012,174233,242385,857504,422892,654451,294255,391936,470835
(??)-threo-1-(p-Hydroxyphenyl)propylene glycol 4'-glucoside,11272,11030,24947,0,0,17906,0,13220,0,22493,23800,28704,111641,74925,108316,117711,103643,129436
"3,3',4,4'-Tetrahydroxy-5,5'-diisopropyl-2,2'-dimethylbiphenyl",23815,14925,0,30567,24755,20334,20757,43242,44542,17576,51336,51855,1339302,72408,48415,3076,22783,60727
Zinolol,42429,0,68557,100574,10860,135915,426529,91992,222721,508172,65525,516355,981023,115069,970770,128656,148720,107446
Patuletin,0,80938,126354,0,0,91450,0,0,0,15995,0,31431,0,0,18722,426293,467415,483198
Patuletin.1,12135,11169,11401,0,0,0,0,0,0,0,20187,25775,0,0,0,28671,45769,51593
Hovenitin I,0,0,0,0,0,0,0,0,0,0,27346,0,0,0,0,126282,135553,160992
UNPD204889,151827,239506,272174,3421,177385,0,152302,403533,77434,0,200828,15453,0,328787,28244,5975,71861,28843
3-Hydroxymugineic acid,0,0,0,0,0,0,139204,109115,0,215209,78485,79726,807628,582096,361094,46380,56994,43045
UNPD171896,0,0,0,0,0,0,143423,73052,0,122607,18421,44717,463282,251795,159425,68257,51339,57597
UNPD171896.1,0,0,0,0,17088,0,186983,160082,0,273963,149486,131504,562835,284390,407910,53456,49000,48746
"2-hydroxydodeca-3,6-dien-1-yl nonanoate",262028,199399,141090,0,112562,85278,525490,388154,129606,480273,303364,414506,1198432,969276,617663,337447,329700,244874
Polyoxyethylene (600) monoricinoleate,378927,274700,197646,302709,221174,287525,404044,730724,775266,695466,1171900,878918,234578,254382,272004,26359,85758,102810
